"","feature","symbol","human_ortholog","gene_title","chr","source","gene_name","data_type"
"mir:hsa-mir-205","mir:hsa-mir-205","HSA-MIR-205","HSA-MIR-205",NA,NA,NA,"mir:hsa-mir-205","mir"
"mir:hsa-mir-9-1","mir:hsa-mir-9-1","HSA-MIR-9-1","HSA-MIR-9-1",NA,NA,NA,"mir:hsa-mir-9-1","mir"
"mir:hsa-mir-9-2","mir:hsa-mir-9-2","HSA-MIR-9-2","HSA-MIR-9-2",NA,NA,NA,"mir:hsa-mir-9-2","mir"
"mir:hsa-mir-196a-1","mir:hsa-mir-196a-1","HSA-MIR-196A-1","HSA-MIR-196A-1",NA,NA,NA,"mir:hsa-mir-196a-1","mir"
"mir:hsa-mir-375","mir:hsa-mir-375","HSA-MIR-375","HSA-MIR-375",NA,NA,NA,"mir:hsa-mir-375","mir"
"mir:hsa-mir-150","mir:hsa-mir-150","HSA-MIR-150","HSA-MIR-150",NA,NA,NA,"mir:hsa-mir-150","mir"
"mir:hsa-mir-203","mir:hsa-mir-203","HSA-MIR-203","HSA-MIR-203",NA,NA,NA,"mir:hsa-mir-203","mir"
"mir:hsa-mir-452","mir:hsa-mir-452","HSA-MIR-452","HSA-MIR-452",NA,NA,NA,"mir:hsa-mir-452","mir"
"mir:hsa-mir-210","mir:hsa-mir-210","HSA-MIR-210","HSA-MIR-210",NA,NA,NA,"mir:hsa-mir-210","mir"
"mir:hsa-mir-149","mir:hsa-mir-149","HSA-MIR-149","HSA-MIR-149",NA,NA,NA,"mir:hsa-mir-149","mir"
"mir:hsa-mir-3065","mir:hsa-mir-3065","HSA-MIR-3065","HSA-MIR-3065",NA,NA,NA,"mir:hsa-mir-3065","mir"
"mir:hsa-mir-486","mir:hsa-mir-486","HSA-MIR-486","HSA-MIR-486",NA,NA,NA,"mir:hsa-mir-486","mir"
"mir:hsa-mir-429","mir:hsa-mir-429","HSA-MIR-429","HSA-MIR-429",NA,NA,NA,"mir:hsa-mir-429","mir"
"mir:hsa-mir-30a","mir:hsa-mir-30a","HSA-MIR-30A","HSA-MIR-30A",NA,NA,NA,"mir:hsa-mir-30a","mir"
"mir:hsa-mir-106a","mir:hsa-mir-106a","HSA-MIR-106A","HSA-MIR-106A",NA,NA,NA,"mir:hsa-mir-106a","mir"
"mir:hsa-mir-451","mir:hsa-mir-451","HSA-MIR-451","HSA-MIR-451",NA,NA,NA,"mir:hsa-mir-451","mir"
"mir:hsa-mir-455","mir:hsa-mir-455","HSA-MIR-455","HSA-MIR-455",NA,NA,NA,"mir:hsa-mir-455","mir"
"mir:hsa-mir-17","mir:hsa-mir-17","HSA-MIR-17","HSA-MIR-17",NA,NA,NA,"mir:hsa-mir-17","mir"
"mir:hsa-mir-196b","mir:hsa-mir-196b","HSA-MIR-196B","HSA-MIR-196B",NA,NA,NA,"mir:hsa-mir-196b","mir"
"mir:hsa-mir-20a","mir:hsa-mir-20a","HSA-MIR-20A","HSA-MIR-20A",NA,NA,NA,"mir:hsa-mir-20a","mir"
"mir:hsa-mir-345","mir:hsa-mir-345","HSA-MIR-345","HSA-MIR-345",NA,NA,NA,"mir:hsa-mir-345","mir"
"mir:hsa-mir-505","mir:hsa-mir-505","HSA-MIR-505","HSA-MIR-505",NA,NA,NA,"mir:hsa-mir-505","mir"
"mir:hsa-mir-146a","mir:hsa-mir-146a","HSA-MIR-146A","HSA-MIR-146A",NA,NA,NA,"mir:hsa-mir-146a","mir"
"mir:hsa-mir-223","mir:hsa-mir-223","HSA-MIR-223","HSA-MIR-223",NA,NA,NA,"mir:hsa-mir-223","mir"
"mir:hsa-mir-10a","mir:hsa-mir-10a","HSA-MIR-10A","HSA-MIR-10A",NA,NA,NA,"mir:hsa-mir-10a","mir"
"mir:hsa-mir-144","mir:hsa-mir-144","HSA-MIR-144","HSA-MIR-144",NA,NA,NA,"mir:hsa-mir-144","mir"
"mir:hsa-mir-155","mir:hsa-mir-155","HSA-MIR-155","HSA-MIR-155",NA,NA,NA,"mir:hsa-mir-155","mir"
"mir:hsa-mir-19b-2","mir:hsa-mir-19b-2","HSA-MIR-19B-2","HSA-MIR-19B-2",NA,NA,NA,"mir:hsa-mir-19b-2","mir"
"mir:hsa-mir-92a-1","mir:hsa-mir-92a-1","HSA-MIR-92A-1","HSA-MIR-92A-1",NA,NA,NA,"mir:hsa-mir-92a-1","mir"
"mir:hsa-mir-582","mir:hsa-mir-582","HSA-MIR-582","HSA-MIR-582",NA,NA,NA,"mir:hsa-mir-582","mir"
"mir:hsa-mir-142","mir:hsa-mir-142","HSA-MIR-142","HSA-MIR-142",NA,NA,NA,"mir:hsa-mir-142","mir"
"mir:hsa-mir-337","mir:hsa-mir-337","HSA-MIR-337","HSA-MIR-337",NA,NA,NA,"mir:hsa-mir-337","mir"
"mir:hsa-mir-3607","mir:hsa-mir-3607","HSA-MIR-3607","HSA-MIR-3607",NA,NA,NA,"mir:hsa-mir-3607","mir"
"mir:hsa-mir-181d","mir:hsa-mir-181d","HSA-MIR-181D","HSA-MIR-181D",NA,NA,NA,"mir:hsa-mir-181d","mir"
"mir:hsa-mir-100","mir:hsa-mir-100","HSA-MIR-100","HSA-MIR-100",NA,NA,NA,"mir:hsa-mir-100","mir"
"mir:hsa-mir-3074","mir:hsa-mir-3074","HSA-MIR-3074","HSA-MIR-3074",NA,NA,NA,"mir:hsa-mir-3074","mir"
"mir:hsa-mir-96","mir:hsa-mir-96","HSA-MIR-96","HSA-MIR-96",NA,NA,NA,"mir:hsa-mir-96","mir"
"mir:hsa-mir-130a","mir:hsa-mir-130a","HSA-MIR-130A","HSA-MIR-130A",NA,NA,NA,"mir:hsa-mir-130a","mir"
"mir:hsa-mir-92b","mir:hsa-mir-92b","HSA-MIR-92B","HSA-MIR-92B",NA,NA,NA,"mir:hsa-mir-92b","mir"
"mir:hsa-mir-584","mir:hsa-mir-584","HSA-MIR-584","HSA-MIR-584",NA,NA,NA,"mir:hsa-mir-584","mir"
"mir:hsa-mir-338","mir:hsa-mir-338","HSA-MIR-338","HSA-MIR-338",NA,NA,NA,"mir:hsa-mir-338","mir"
"mir:hsa-mir-576","mir:hsa-mir-576","HSA-MIR-576","HSA-MIR-576",NA,NA,NA,"mir:hsa-mir-576","mir"
"mir:hsa-mir-143","mir:hsa-mir-143","HSA-MIR-143","HSA-MIR-143",NA,NA,NA,"mir:hsa-mir-143","mir"
"mir:hsa-mir-1301","mir:hsa-mir-1301","HSA-MIR-1301","HSA-MIR-1301",NA,NA,NA,"mir:hsa-mir-1301","mir"
"mir:hsa-mir-379","mir:hsa-mir-379","HSA-MIR-379","HSA-MIR-379",NA,NA,NA,"mir:hsa-mir-379","mir"
"mir:hsa-mir-3653","mir:hsa-mir-3653","HSA-MIR-3653","HSA-MIR-3653",NA,NA,NA,"mir:hsa-mir-3653","mir"
"mir:hsa-mir-15b","mir:hsa-mir-15b","HSA-MIR-15B","HSA-MIR-15B",NA,NA,NA,"mir:hsa-mir-15b","mir"
"mir:hsa-mir-92a-2","mir:hsa-mir-92a-2","HSA-MIR-92A-2","HSA-MIR-92A-2",NA,NA,NA,"mir:hsa-mir-92a-2","mir"
"mir:hsa-mir-378","mir:hsa-mir-378","HSA-MIR-378","HSA-MIR-378",NA,NA,NA,"mir:hsa-mir-378","mir"
"mir:hsa-mir-590","mir:hsa-mir-590","HSA-MIR-590","HSA-MIR-590",NA,NA,NA,"mir:hsa-mir-590","mir"
"mir:hsa-mir-3647","mir:hsa-mir-3647","HSA-MIR-3647","HSA-MIR-3647",NA,NA,NA,"mir:hsa-mir-3647","mir"
"mir:hsa-mir-130b","mir:hsa-mir-130b","HSA-MIR-130B","HSA-MIR-130B",NA,NA,NA,"mir:hsa-mir-130b","mir"
"mir:hsa-mir-197","mir:hsa-mir-197","HSA-MIR-197","HSA-MIR-197",NA,NA,NA,"mir:hsa-mir-197","mir"
"mir:hsa-mir-29c","mir:hsa-mir-29c","HSA-MIR-29C","HSA-MIR-29C",NA,NA,NA,"mir:hsa-mir-29c","mir"
"mir:hsa-mir-146b","mir:hsa-mir-146b","HSA-MIR-146B","HSA-MIR-146B",NA,NA,NA,"mir:hsa-mir-146b","mir"
"mir:hsa-mir-425","mir:hsa-mir-425","HSA-MIR-425","HSA-MIR-425",NA,NA,NA,"mir:hsa-mir-425","mir"
"mir:hsa-mir-181c","mir:hsa-mir-181c","HSA-MIR-181C","HSA-MIR-181C",NA,NA,NA,"mir:hsa-mir-181c","mir"
"mir:hsa-mir-200b","mir:hsa-mir-200b","HSA-MIR-200B","HSA-MIR-200B",NA,NA,NA,"mir:hsa-mir-200b","mir"
"mir:hsa-mir-30b","mir:hsa-mir-30b","HSA-MIR-30B","HSA-MIR-30B",NA,NA,NA,"mir:hsa-mir-30b","mir"
"mir:hsa-mir-214","mir:hsa-mir-214","HSA-MIR-214","HSA-MIR-214",NA,NA,NA,"mir:hsa-mir-214","mir"
"mir:hsa-mir-1307","mir:hsa-mir-1307","HSA-MIR-1307","HSA-MIR-1307",NA,NA,NA,"mir:hsa-mir-1307","mir"
"mir:hsa-mir-744","mir:hsa-mir-744","HSA-MIR-744","HSA-MIR-744",NA,NA,NA,"mir:hsa-mir-744","mir"
"mir:hsa-mir-342","mir:hsa-mir-342","HSA-MIR-342","HSA-MIR-342",NA,NA,NA,"mir:hsa-mir-342","mir"
"mir:hsa-mir-148a","mir:hsa-mir-148a","HSA-MIR-148A","HSA-MIR-148A",NA,NA,NA,"mir:hsa-mir-148a","mir"
"mir:hsa-mir-7-1","mir:hsa-mir-7-1","HSA-MIR-7-1","HSA-MIR-7-1",NA,NA,NA,"mir:hsa-mir-7-1","mir"
"mir:hsa-mir-1287","mir:hsa-mir-1287","HSA-MIR-1287","HSA-MIR-1287",NA,NA,NA,"mir:hsa-mir-1287","mir"
"mir:hsa-mir-501","mir:hsa-mir-501","HSA-MIR-501","HSA-MIR-501",NA,NA,NA,"mir:hsa-mir-501","mir"
"mir:hsa-mir-99a","mir:hsa-mir-99a","HSA-MIR-99A","HSA-MIR-99A",NA,NA,NA,"mir:hsa-mir-99a","mir"
"mir:hsa-mir-324","mir:hsa-mir-324","HSA-MIR-324","HSA-MIR-324",NA,NA,NA,"mir:hsa-mir-324","mir"
"mir:hsa-mir-93","mir:hsa-mir-93","HSA-MIR-93","HSA-MIR-93",NA,NA,NA,"mir:hsa-mir-93","mir"
"mir:hsa-mir-222","mir:hsa-mir-222","HSA-MIR-222","HSA-MIR-222",NA,NA,NA,"mir:hsa-mir-222","mir"
"mir:hsa-mir-628","mir:hsa-mir-628","HSA-MIR-628","HSA-MIR-628",NA,NA,NA,"mir:hsa-mir-628","mir"
"mir:hsa-mir-139","mir:hsa-mir-139","HSA-MIR-139","HSA-MIR-139",NA,NA,NA,"mir:hsa-mir-139","mir"
"mir:hsa-mir-183","mir:hsa-mir-183","HSA-MIR-183","HSA-MIR-183",NA,NA,NA,"mir:hsa-mir-183","mir"
"mir:hsa-mir-424","mir:hsa-mir-424","HSA-MIR-424","HSA-MIR-424",NA,NA,NA,"mir:hsa-mir-424","mir"
"mir:hsa-mir-29b-1","mir:hsa-mir-29b-1","HSA-MIR-29B-1","HSA-MIR-29B-1",NA,NA,NA,"mir:hsa-mir-29b-1","mir"
"mir:hsa-mir-30c-2","mir:hsa-mir-30c-2","HSA-MIR-30C-2","HSA-MIR-30C-2",NA,NA,NA,"mir:hsa-mir-30c-2","mir"
"mir:hsa-mir-625","mir:hsa-mir-625","HSA-MIR-625","HSA-MIR-625",NA,NA,NA,"mir:hsa-mir-625","mir"
"mir:hsa-mir-141","mir:hsa-mir-141","HSA-MIR-141","HSA-MIR-141",NA,NA,NA,"mir:hsa-mir-141","mir"
"mir:hsa-mir-16-2","mir:hsa-mir-16-2","HSA-MIR-16-2","HSA-MIR-16-2",NA,NA,NA,"mir:hsa-mir-16-2","mir"
"mir:hsa-mir-134","mir:hsa-mir-134","HSA-MIR-134","HSA-MIR-134",NA,NA,NA,"mir:hsa-mir-134","mir"
"mir:hsa-mir-127","mir:hsa-mir-127","HSA-MIR-127","HSA-MIR-127",NA,NA,NA,"mir:hsa-mir-127","mir"
"mir:hsa-mir-200a","mir:hsa-mir-200a","HSA-MIR-200A","HSA-MIR-200A",NA,NA,NA,"mir:hsa-mir-200a","mir"
"mir:hsa-mir-454","mir:hsa-mir-454","HSA-MIR-454","HSA-MIR-454",NA,NA,NA,"mir:hsa-mir-454","mir"
"mir:hsa-mir-500a","mir:hsa-mir-500a","HSA-MIR-500A","HSA-MIR-500A",NA,NA,NA,"mir:hsa-mir-500a","mir"
"mir:hsa-mir-330","mir:hsa-mir-330","HSA-MIR-330","HSA-MIR-330",NA,NA,NA,"mir:hsa-mir-330","mir"
"mir:hsa-mir-192","mir:hsa-mir-192","HSA-MIR-192","HSA-MIR-192",NA,NA,NA,"mir:hsa-mir-192","mir"
"mir:hsa-mir-874","mir:hsa-mir-874","HSA-MIR-874","HSA-MIR-874",NA,NA,NA,"mir:hsa-mir-874","mir"
"mir:hsa-mir-29b-2","mir:hsa-mir-29b-2","HSA-MIR-29B-2","HSA-MIR-29B-2",NA,NA,NA,"mir:hsa-mir-29b-2","mir"
"mir:hsa-mir-125b-1","mir:hsa-mir-125b-1","HSA-MIR-125B-1","HSA-MIR-125B-1",NA,NA,NA,"mir:hsa-mir-125b-1","mir"
"mir:hsa-mir-381","mir:hsa-mir-381","HSA-MIR-381","HSA-MIR-381",NA,NA,NA,"mir:hsa-mir-381","mir"
"mir:hsa-mir-328","mir:hsa-mir-328","HSA-MIR-328","HSA-MIR-328",NA,NA,NA,"mir:hsa-mir-328","mir"
"mir:hsa-mir-221","mir:hsa-mir-221","HSA-MIR-221","HSA-MIR-221",NA,NA,NA,"mir:hsa-mir-221","mir"
"mir:hsa-let-7c","mir:hsa-let-7c","HSA-LET-7C","HSA-LET-7C",NA,NA,NA,"mir:hsa-let-7c","mir"
"mir:hsa-mir-24-1","mir:hsa-mir-24-1","HSA-MIR-24-1","HSA-MIR-24-1",NA,NA,NA,"mir:hsa-mir-24-1","mir"
"mir:hsa-mir-484","mir:hsa-mir-484","HSA-MIR-484","HSA-MIR-484",NA,NA,NA,"mir:hsa-mir-484","mir"
"mir:hsa-mir-106b","mir:hsa-mir-106b","HSA-MIR-106B","HSA-MIR-106B",NA,NA,NA,"mir:hsa-mir-106b","mir"
"mir:hsa-mir-199b","mir:hsa-mir-199b","HSA-MIR-199B","HSA-MIR-199B",NA,NA,NA,"mir:hsa-mir-199b","mir"
"mir:hsa-mir-145","mir:hsa-mir-145","HSA-MIR-145","HSA-MIR-145",NA,NA,NA,"mir:hsa-mir-145","mir"
"mir:hsa-mir-182","mir:hsa-mir-182","HSA-MIR-182","HSA-MIR-182",NA,NA,NA,"mir:hsa-mir-182","mir"
"mir:hsa-mir-181b-1","mir:hsa-mir-181b-1","HSA-MIR-181B-1","HSA-MIR-181B-1",NA,NA,NA,"mir:hsa-mir-181b-1","mir"
"mir:hsa-mir-152","mir:hsa-mir-152","HSA-MIR-152","HSA-MIR-152",NA,NA,NA,"mir:hsa-mir-152","mir"
"mir:hsa-mir-191","mir:hsa-mir-191","HSA-MIR-191","HSA-MIR-191",NA,NA,NA,"mir:hsa-mir-191","mir"
"mir:hsa-mir-200c","mir:hsa-mir-200c","HSA-MIR-200C","HSA-MIR-200C",NA,NA,NA,"mir:hsa-mir-200c","mir"
"mir:hsa-mir-199a-2","mir:hsa-mir-199a-2","HSA-MIR-199A-2","HSA-MIR-199A-2",NA,NA,NA,"mir:hsa-mir-199a-2","mir"
"mir:hsa-mir-542","mir:hsa-mir-542","HSA-MIR-542","HSA-MIR-542",NA,NA,NA,"mir:hsa-mir-542","mir"
"mir:hsa-mir-199a-1","mir:hsa-mir-199a-1","HSA-MIR-199A-1","HSA-MIR-199A-1",NA,NA,NA,"mir:hsa-mir-199a-1","mir"
"mir:hsa-mir-181a-2","mir:hsa-mir-181a-2","HSA-MIR-181A-2","HSA-MIR-181A-2",NA,NA,NA,"mir:hsa-mir-181a-2","mir"
"mir:hsa-mir-660","mir:hsa-mir-660","HSA-MIR-660","HSA-MIR-660",NA,NA,NA,"mir:hsa-mir-660","mir"
"mir:hsa-mir-331","mir:hsa-mir-331","HSA-MIR-331","HSA-MIR-331",NA,NA,NA,"mir:hsa-mir-331","mir"
"mir:hsa-mir-193b","mir:hsa-mir-193b","HSA-MIR-193B","HSA-MIR-193B",NA,NA,NA,"mir:hsa-mir-193b","mir"
"mir:hsa-mir-539","mir:hsa-mir-539","HSA-MIR-539","HSA-MIR-539",NA,NA,NA,"mir:hsa-mir-539","mir"
"mir:hsa-mir-16-1","mir:hsa-mir-16-1","HSA-MIR-16-1","HSA-MIR-16-1",NA,NA,NA,"mir:hsa-mir-16-1","mir"
"mir:hsa-mir-339","mir:hsa-mir-339","HSA-MIR-339","HSA-MIR-339",NA,NA,NA,"mir:hsa-mir-339","mir"
"mir:hsa-mir-10b","mir:hsa-mir-10b","HSA-MIR-10B","HSA-MIR-10B",NA,NA,NA,"mir:hsa-mir-10b","mir"
"mir:hsa-let-7b","mir:hsa-let-7b","HSA-LET-7B","HSA-LET-7B",NA,NA,NA,"mir:hsa-let-7b","mir"
"mir:hsa-let-7f-2","mir:hsa-let-7f-2","HSA-LET-7F-2","HSA-LET-7F-2",NA,NA,NA,"mir:hsa-let-7f-2","mir"
"mir:hsa-mir-186","mir:hsa-mir-186","HSA-MIR-186","HSA-MIR-186",NA,NA,NA,"mir:hsa-mir-186","mir"
"mir:hsa-mir-101-2","mir:hsa-mir-101-2","HSA-MIR-101-2","HSA-MIR-101-2",NA,NA,NA,"mir:hsa-mir-101-2","mir"
"mir:hsa-mir-128-2","mir:hsa-mir-128-2","HSA-MIR-128-2","HSA-MIR-128-2",NA,NA,NA,"mir:hsa-mir-128-2","mir"
"mir:hsa-mir-24-2","mir:hsa-mir-24-2","HSA-MIR-24-2","HSA-MIR-24-2",NA,NA,NA,"mir:hsa-mir-24-2","mir"
"mir:hsa-mir-27b","mir:hsa-mir-27b","HSA-MIR-27B","HSA-MIR-27B",NA,NA,NA,"mir:hsa-mir-27b","mir"
"mir:hsa-mir-409","mir:hsa-mir-409","HSA-MIR-409","HSA-MIR-409",NA,NA,NA,"mir:hsa-mir-409","mir"
"mir:hsa-mir-3613","mir:hsa-mir-3613","HSA-MIR-3613","HSA-MIR-3613",NA,NA,NA,"mir:hsa-mir-3613","mir"
"mir:hsa-mir-23b","mir:hsa-mir-23b","HSA-MIR-23B","HSA-MIR-23B",NA,NA,NA,"mir:hsa-mir-23b","mir"
"mir:hsa-mir-32","mir:hsa-mir-32","HSA-MIR-32","HSA-MIR-32",NA,NA,NA,"mir:hsa-mir-32","mir"
"mir:hsa-mir-27a","mir:hsa-mir-27a","HSA-MIR-27A","HSA-MIR-27A",NA,NA,NA,"mir:hsa-mir-27a","mir"
"mir:hsa-mir-340","mir:hsa-mir-340","HSA-MIR-340","HSA-MIR-340",NA,NA,NA,"mir:hsa-mir-340","mir"
"mir:hsa-mir-30d","mir:hsa-mir-30d","HSA-MIR-30D","HSA-MIR-30D",NA,NA,NA,"mir:hsa-mir-30d","mir"
"mir:hsa-mir-101-1","mir:hsa-mir-101-1","HSA-MIR-101-1","HSA-MIR-101-1",NA,NA,NA,"mir:hsa-mir-101-1","mir"
"mir:hsa-mir-103-2","mir:hsa-mir-103-2","HSA-MIR-103-2","HSA-MIR-103-2",NA,NA,NA,"mir:hsa-mir-103-2","mir"
"mir:hsa-mir-126","mir:hsa-mir-126","HSA-MIR-126","HSA-MIR-126",NA,NA,NA,"mir:hsa-mir-126","mir"
"mir:hsa-mir-320a","mir:hsa-mir-320a","HSA-MIR-320A","HSA-MIR-320A",NA,NA,NA,"mir:hsa-mir-320a","mir"
"mir:hsa-mir-497","mir:hsa-mir-497","HSA-MIR-497","HSA-MIR-497",NA,NA,NA,"mir:hsa-mir-497","mir"
"mir:hsa-mir-195","mir:hsa-mir-195","HSA-MIR-195","HSA-MIR-195",NA,NA,NA,"mir:hsa-mir-195","mir"
"mir:hsa-mir-532","mir:hsa-mir-532","HSA-MIR-532","HSA-MIR-532",NA,NA,NA,"mir:hsa-mir-532","mir"
"mir:hsa-mir-589","mir:hsa-mir-589","HSA-MIR-589","HSA-MIR-589",NA,NA,NA,"mir:hsa-mir-589","mir"
"mir:hsa-mir-34a","mir:hsa-mir-34a","HSA-MIR-34A","HSA-MIR-34A",NA,NA,NA,"mir:hsa-mir-34a","mir"
"mir:hsa-mir-193a","mir:hsa-mir-193a","HSA-MIR-193A","HSA-MIR-193A",NA,NA,NA,"mir:hsa-mir-193a","mir"
"mir:hsa-mir-708","mir:hsa-mir-708","HSA-MIR-708","HSA-MIR-708",NA,NA,NA,"mir:hsa-mir-708","mir"
"mir:hsa-mir-98","mir:hsa-mir-98","HSA-MIR-98","HSA-MIR-98",NA,NA,NA,"mir:hsa-mir-98","mir"
"mir:hsa-mir-365-2","mir:hsa-mir-365-2","HSA-MIR-365-2","HSA-MIR-365-2",NA,NA,NA,"mir:hsa-mir-365-2","mir"
"mir:hsa-mir-218-2","mir:hsa-mir-218-2","HSA-MIR-218-2","HSA-MIR-218-2",NA,NA,NA,"mir:hsa-mir-218-2","mir"
"mir:hsa-mir-194-1","mir:hsa-mir-194-1","HSA-MIR-194-1","HSA-MIR-194-1",NA,NA,NA,"mir:hsa-mir-194-1","mir"
"mir:hsa-mir-140","mir:hsa-mir-140","HSA-MIR-140","HSA-MIR-140",NA,NA,NA,"mir:hsa-mir-140","mir"
"mir:hsa-let-7d","mir:hsa-let-7d","HSA-LET-7D","HSA-LET-7D",NA,NA,NA,"mir:hsa-let-7d","mir"
"mir:hsa-mir-365-1","mir:hsa-mir-365-1","HSA-MIR-365-1","HSA-MIR-365-1",NA,NA,NA,"mir:hsa-mir-365-1","mir"
"mir:hsa-mir-664","mir:hsa-mir-664","HSA-MIR-664","HSA-MIR-664",NA,NA,NA,"mir:hsa-mir-664","mir"
"mir:hsa-mir-25","mir:hsa-mir-25","HSA-MIR-25","HSA-MIR-25",NA,NA,NA,"mir:hsa-mir-25","mir"
"mir:hsa-mir-2355","mir:hsa-mir-2355","HSA-MIR-2355","HSA-MIR-2355",NA,NA,NA,"mir:hsa-mir-2355","mir"
"mir:hsa-mir-29a","mir:hsa-mir-29a","HSA-MIR-29A","HSA-MIR-29A",NA,NA,NA,"mir:hsa-mir-29a","mir"
"mir:hsa-mir-103-1","mir:hsa-mir-103-1","HSA-MIR-103-1","HSA-MIR-103-1",NA,NA,NA,"mir:hsa-mir-103-1","mir"
"mir:hsa-mir-574","mir:hsa-mir-574","HSA-MIR-574","HSA-MIR-574",NA,NA,NA,"mir:hsa-mir-574","mir"
"mir:hsa-mir-148b","mir:hsa-mir-148b","HSA-MIR-148B","HSA-MIR-148B",NA,NA,NA,"mir:hsa-mir-148b","mir"
"mir:hsa-mir-194-2","mir:hsa-mir-194-2","HSA-MIR-194-2","HSA-MIR-194-2",NA,NA,NA,"mir:hsa-mir-194-2","mir"
"mir:hsa-let-7f-1","mir:hsa-let-7f-1","HSA-LET-7F-1","HSA-LET-7F-1",NA,NA,NA,"mir:hsa-let-7f-1","mir"
"mir:hsa-mir-128-1","mir:hsa-mir-128-1","HSA-MIR-128-1","HSA-MIR-128-1",NA,NA,NA,"mir:hsa-mir-128-1","mir"
"mir:hsa-mir-26b","mir:hsa-mir-26b","HSA-MIR-26B","HSA-MIR-26B",NA,NA,NA,"mir:hsa-mir-26b","mir"
"mir:hsa-let-7g","mir:hsa-let-7g","HSA-LET-7G","HSA-LET-7G",NA,NA,NA,"mir:hsa-let-7g","mir"
"mir:hsa-mir-374b","mir:hsa-mir-374b","HSA-MIR-374B","HSA-MIR-374B",NA,NA,NA,"mir:hsa-mir-374b","mir"
"mir:hsa-mir-423","mir:hsa-mir-423","HSA-MIR-423","HSA-MIR-423",NA,NA,NA,"mir:hsa-mir-423","mir"
"mir:hsa-mir-15a","mir:hsa-mir-15a","HSA-MIR-15A","HSA-MIR-15A",NA,NA,NA,"mir:hsa-mir-15a","mir"
"mir:hsa-mir-151","mir:hsa-mir-151","HSA-MIR-151","HSA-MIR-151",NA,NA,NA,"mir:hsa-mir-151","mir"
"mir:hsa-mir-181a-1","mir:hsa-mir-181a-1","HSA-MIR-181A-1","HSA-MIR-181A-1",NA,NA,NA,"mir:hsa-mir-181a-1","mir"
"mir:hsa-mir-99b","mir:hsa-mir-99b","HSA-MIR-99B","HSA-MIR-99B",NA,NA,NA,"mir:hsa-mir-99b","mir"
"mir:hsa-mir-185","mir:hsa-mir-185","HSA-MIR-185","HSA-MIR-185",NA,NA,NA,"mir:hsa-mir-185","mir"
"mir:hsa-mir-23a","mir:hsa-mir-23a","HSA-MIR-23A","HSA-MIR-23A",NA,NA,NA,"mir:hsa-mir-23a","mir"
"mir:hsa-mir-629","mir:hsa-mir-629","HSA-MIR-629","HSA-MIR-629",NA,NA,NA,"mir:hsa-mir-629","mir"
"mir:hsa-mir-125a","mir:hsa-mir-125a","HSA-MIR-125A","HSA-MIR-125A",NA,NA,NA,"mir:hsa-mir-125a","mir"
"mir:hsa-mir-769","mir:hsa-mir-769","HSA-MIR-769","HSA-MIR-769",NA,NA,NA,"mir:hsa-mir-769","mir"
"mir:hsa-mir-132","mir:hsa-mir-132","HSA-MIR-132","HSA-MIR-132",NA,NA,NA,"mir:hsa-mir-132","mir"
"mir:hsa-let-7e","mir:hsa-let-7e","HSA-LET-7E","HSA-LET-7E",NA,NA,NA,"mir:hsa-let-7e","mir"
"mir:hsa-mir-374a","mir:hsa-mir-374a","HSA-MIR-374A","HSA-MIR-374A",NA,NA,NA,"mir:hsa-mir-374a","mir"
"mir:hsa-mir-107","mir:hsa-mir-107","HSA-MIR-107","HSA-MIR-107",NA,NA,NA,"mir:hsa-mir-107","mir"
"mir:hsa-mir-21","mir:hsa-mir-21","HSA-MIR-21","HSA-MIR-21",NA,NA,NA,"mir:hsa-mir-21","mir"
"mir:hsa-let-7i","mir:hsa-let-7i","HSA-LET-7I","HSA-LET-7I",NA,NA,NA,"mir:hsa-let-7i","mir"
"mir:hsa-mir-26a-2","mir:hsa-mir-26a-2","HSA-MIR-26A-2","HSA-MIR-26A-2",NA,NA,NA,"mir:hsa-mir-26a-2","mir"
"mir:hsa-let-7a-2","mir:hsa-let-7a-2","HSA-LET-7A-2","HSA-LET-7A-2",NA,NA,NA,"mir:hsa-let-7a-2","mir"
"mir:hsa-let-7a-1","mir:hsa-let-7a-1","HSA-LET-7A-1","HSA-LET-7A-1",NA,NA,NA,"mir:hsa-let-7a-1","mir"
"mir:hsa-mir-22","mir:hsa-mir-22","HSA-MIR-22","HSA-MIR-22",NA,NA,NA,"mir:hsa-mir-22","mir"
"mir:hsa-let-7a-3","mir:hsa-let-7a-3","HSA-LET-7A-3","HSA-LET-7A-3",NA,NA,NA,"mir:hsa-let-7a-3","mir"
"mir:hsa-mir-28","mir:hsa-mir-28","HSA-MIR-28","HSA-MIR-28",NA,NA,NA,"mir:hsa-mir-28","mir"
